,HUMAN_CODING,HUMAN_NON_CODING,MOUSE_CODING,MOUSE_NON_CODING,NON_PROMOTER,HUMAN_CODING_GENERATED,GENERAL
BCL6B,0.0,0.0,0.00028153153153153153,0.0,8.078849571820973e-05,0.0,7.474958887726118e-05
NR1H2::RXRA,0.0,0.0,0.0,0.00032509752925877764,8.078849571820973e-05,0.0,7.474958887726118e-05
ZSCAN16,0.0005861664712778429,0.000855431993156544,0.00028153153153153153,0.0,0.0003231539828728389,0.0,0.00033637314994767526
GLIS1,0.002637749120750293,0.001710863986313088,0.00365990990990991,0.0006501950585175553,0.0010502504443367265,0.002,0.0016818657497383765
RXRA::VDR,0.0029308323563892145,0.001710863986313088,0.0022522522522522522,0.001625487646293888,0.0025852318629827112,0.0015,0.0023172372551950966
IRF2,0.002637749120750293,0.0029940119760479044,0.002815315315315315,0.0039011703511053317,0.003150751333010179,0.002,0.0030273583495290775
E2F7,0.006447831184056272,0.0029940119760479044,0.004222972972972973,0.0013003901170351106,0.0025852318629827112,0.004,0.0032889819105994915
ZNF410,0.004103165298944901,0.005560307955517536,0.0019707207207207205,0.0039011703511053317,0.005251252221683632,0.005,0.004522350127074301
Znf423,0.006447831184056272,0.005988023952095809,0.002815315315315315,0.007477243172951885,0.0046049442559379546,0.004,0.005008222454776499
TP63,0.00615474794841735,0.00855431993156544,0.006756756756756757,0.007152145643693108,0.004524155760219745,0.008,0.005942592315742263
NFIC::TLX1,0.004396248534583822,0.007271171941830625,0.0019707207207207205,0.011378413524057216,0.0075133301017935045,0.0025,0.006428464643444461
Nr2F6,0.007033997655334115,0.005988023952095809,0.002815315315315315,0.0039011703511053317,0.009452253999030538,0.0035,0.006876962176708028
EWSR1-FLI1,0.013188745603751465,0.022668947818648418,0.01126126126126126,0.01495448634590377,0.0033123283244465987,0.006,0.00885782628195545
IRF8,0.00996483001172333,0.013259195893926433,0.009853603603603604,0.013328998699609884,0.010906446921958314,0.004,0.010614441620571086
PAX9,0.013481828839390387,0.015825491873396064,0.01829954954954955,0.008127438231469442,0.008321215058975602,0.0145,0.01139931230378233
ZSCAN31,0.009378663540445486,0.014114627887082978,0.009009009009009009,0.01235370611183355,0.012360639844886088,0.012,0.011660935864852744
IRF9,0.012602579132473623,0.017536355859709155,0.01097972972972973,0.013003901170351105,0.014057198254968492,0.0045,0.012931678875766184
Rarb,0.011430246189917937,0.01924721984602224,0.005349099099099099,0.017555266579973992,0.017046372596542254,0.0105,0.014538795036627299
ESR1,0.013481828839390387,0.018391787852865698,0.014076576576576577,0.013979193758127438,0.016965584100824042,0.008,0.01524891613096128
ZBED1,0.022860492379835874,0.011548331907613344,0.024774774774774775,0.015929778933680104,0.0116335433834222,0.021,0.015996412019733893
IRF4,0.014947245017584994,0.020102651839178785,0.015484234234234234,0.01657997399219766,0.017207949587978673,0.007,0.016108536403049784
E2F3,0.02579132473622509,0.011976047904191617,0.025056306306306307,0.02080624187256177,0.012360639844886088,0.0225,0.017454029002840484
Rarg,0.013481828839390387,0.017964071856287425,0.009572072072072071,0.014629388816644993,0.022701567296816934,0.014,0.01779040215278816
SOX21,0.011430246189917937,0.0106928999144568,0.003941441441441441,0.013979193758127438,0.02690256907416384,0.0115,0.01782777694722679
RREB1,0.015533411488862838,0.018391787852865698,0.028997747747747746,0.034785435630689206,0.012279851349167878,0.0155,0.018276274480490358
TGIF1,0.01201641266119578,0.023096663815226688,0.012387387387387387,0.017555266579973992,0.026417838099854582,0.0195,0.0208925100911945
OVOL1,0.022860492379835874,0.024379811804961505,0.028997747747747746,0.02438231469440832,0.019146873485215706,0.023,0.02227537748542383
Sox1,0.009378663540445486,0.014114627887082978,0.009853603603603604,0.023081924577373212,0.03263855227015673,0.019,0.02291074899088055
SRF,0.016412661195779603,0.0320786997433704,0.015765765765765764,0.033485045513654096,0.034173533688802715,0.0225,0.028330094184481985
RFX1,0.03458382180539273,0.05004277159965783,0.0464527027027027,0.05624187256176853,0.015915333656487316,0.0055,0.02918971445657049
ZNF558,0.00996483001172333,0.022241231822070145,0.010698198198198198,0.017555266579973992,0.050412021328162866,0.034,0.03251607116160861
ZNF8,0.01201641266119578,0.023952095808383235,0.00731981981981982,0.024057217165149546,0.05760219744708354,0.021,0.03558080430557632
RFX3,0.04865181711606096,0.05004277159965783,0.05827702702702703,0.06794538361508452,0.02052027791242527,0.0095,0.036328300194348934
GLI3,0.04249706916764361,0.04918733960650128,0.04279279279279279,0.0406371911573472,0.02997253191145581,0.0385,0.03681417252205113
Rxra,0.038686987104337635,0.039777587681779296,0.036036036036036036,0.05039011703511053,0.038778477944740666,0.0275,0.0389819105994917
HOXD12::ELK1,0.03341148886283705,0.032506415739948676,0.03969594594594594,0.03836150845253576,0.04677653902084343,0.038,0.04126177306024817
RARA,0.035169988276670575,0.06501283147989735,0.028997747747747746,0.0523407022106632,0.041202132816286964,0.0365,0.041822394976827625
ZNF382,0.029601406799531067,0.04576561163387511,0.025619369369369368,0.046163849154746424,0.05267409920827274,0.035,0.04346688593212737
ZNF143,0.06623681125439625,0.03934987168520103,0.07713963963963964,0.052990897269180756,0.030618839877201487,0.015,0.043504260726566005
PKNOX2,0.02403282532239156,0.04918733960650128,0.02421171171171171,0.045188556566970094,0.059056390370011314,0.0435,0.04634474510390193
HES7,0.07708089097303635,0.04448246364414029,0.07066441441441441,0.05201560468140442,0.029003069962837292,0.057,0.04675586784272687
NFKB1,0.0682883939038687,0.05731394354148845,0.030405405405405407,0.045188556566970094,0.0489578284052351,0.026,0.047540738525938105
ATF6,0.07883939038686986,0.05175363558597092,0.07995495495495496,0.043563068920676205,0.02973016642430118,0.0525,0.047877111675885785
PLAG1,0.06623681125439625,0.06073567151411463,0.06447072072072071,0.06436931079323797,0.03514299563742123,0.0485,0.04959635222006279
PAX1,0.06184056271981243,0.04875962360992301,0.06362612612612613,0.043237971391417426,0.04346421069639683,0.0585,0.050044849753326355
GLIS3,0.06477139507620164,0.06458511548331908,0.05855855855855856,0.05169050715214565,0.04192922927775085,0.0495,0.05071759605322171
ZNF157,0.02608440797186401,0.037639007698887936,0.028434684684684686,0.05039011703511053,0.06770075941185975,0.0515,0.05135296755867843
NR3C2,0.04044548651817116,0.048331907613344736,0.04082207207207207,0.06079323797139142,0.06051058329293908,0.026,0.051726715503064735
NR1D2,0.04484173505275498,0.05175363558597092,0.03434684684684685,0.06794538361508452,0.057682985942801746,0.0555,0.05344595604724174
NR3C1,0.03985932004689332,0.05004277159965783,0.039414414414414414,0.06697009102730819,0.0681047018904508,0.027,0.05591269248019136
Mecom,0.025205158264947247,0.05474764756201882,0.03237612612612613,0.053315994798439535,0.07658749394086282,0.047,0.05737030946329795
CEBPB,0.0779601406799531,0.0748502994011976,0.0670045045045045,0.07444733420026008,0.05808692842139279,0.062,0.06544326506204216
NFE2,0.04425556858147714,0.10607356715141146,0.0259009009009009,0.08485045513654096,0.07246728065923412,0.0655,0.06652713410076244
ATF3,0.08821805392731535,0.09580838323353294,0.11796171171171171,0.1293888166449935,0.03401195669736629,0.0235,0.06764837793392137
ZSCAN4,0.03898007033997655,0.10350727117194183,0.03434684684684685,0.1381664499349805,0.06745839392470512,0.0345,0.06824637464493945
MEF2B,0.0313599062133646,0.07057313943541488,0.03265765765765766,0.06469440832249675,0.09266440458878655,0.052,0.06869487217820303
MEF2D,0.027842907385697536,0.06971770744225834,0.028434684684684686,0.06274382314694409,0.09678461787041526,0.059,0.06981611601136194
ERF::SREBF2,0.08704572098475967,0.07570573139435414,0.09684684684684684,0.07477243172951886,0.059621909840038775,0.0745,0.07232022723875019
NR2F6,0.07121922626025791,0.07356715141146279,0.05574324324324324,0.06501950585175553,0.08587817094845694,0.048,0.07370309463297951
RFX4,0.0873388042203986,0.0872540633019675,0.09318693693693694,0.11248374512353707,0.053643561156891256,0.079,0.0747869636716998
MTF1,0.09232121922626026,0.08083832335329341,0.09656531531531531,0.08029908972691807,0.05808692842139279,0.101,0.07531021079384063
ZNF282,0.06887456037514654,0.07784431137724551,0.07010135135135136,0.0842002600780234,0.07917272580384553,0.062,0.07583345791598146
HOXC9,0.05744431418522861,0.08383233532934131,0.05799549549549549,0.07834850455136541,0.08733236387138471,0.063,0.07646882942143818
LMX1B,0.03341148886283705,0.08083832335329341,0.04054054054054054,0.06859557867360208,0.10680239133947327,0.102,0.08162655105396921
TP53,0.05920281359906213,0.08682634730538923,0.07122747747747747,0.09785435630689207,0.09096784617870415,0.077,0.08368216474809388
KLF13,0.12456037514654161,0.09538066723695467,0.15005630630630631,0.11183355006501951,0.04217159476490548,0.1005,0.08401853789804156
