FACTOR,HUMAN_CODING,HUMAN_CODING_GENERATED,HUMAN_CODING_GENERATED_NEW,HUMAN_NON_CODING,MOUSE_CODING,MOUSE_NON_CODING,NON_PROMOTER
PAX5,4.285756154747949,3.406,3.736842105263158,2.967493584260051,4.286317567567568,2.7386215864759427,1.783244465988043
OSR2,4.192262602579133,4.1715,3.1578947368421053,4.202309666381523,4.460304054054054,4.413524057217165,4.280093714655033
Pparg::Rxra,4.107561547479484,3.895,3.1578947368421053,4.572284003421728,3.579391891891892,4.511703511053316,4.006624656648893
SP2,4.060961313012895,2.953,3.1052631578947367,2.5479041916167664,3.62134009009009,2.4645643693107933,0.7964129907901115
Tcf12,3.992966002344666,3.905,5.368421052631579,4.25235243798118,3.86036036036036,4.2626788036410925,4.158668605590564
KLF7,3.970984759671747,2.8305,3.736842105263158,2.5124037639007697,3.4690315315315314,2.3634590377113134,0.8132169978994991
KLF1,3.9648300117233295,2.832,3.9473684210526314,2.612917023096664,3.440315315315315,2.476267880364109,0.8892389723703344
MEIS1,3.914126611957796,5.109,4.684210526315789,5.591103507271172,4.177083333333333,5.709037711313394,6.60155113911779
VEZF1,3.881594372801876,2.9165,4.578947368421052,3.0166809238665526,3.227477477477477,3.0006501950585176,1.3711423493294554
SP1,3.8584407971864008,2.792,3.1052631578947367,2.420017108639863,3.3597972972972974,2.2604031209362807,0.7073840685086443
RFX7,3.787807737397421,3.3865,2.263157894736842,2.89606501283148,3.75,2.937581274382315,2.510421715947649
Zfp961,3.770808909730364,2.8315,4.631578947368421,2.3259195893926434,3.4600225225225225,1.97334200260078,1.1077718532880918
FIGLA,3.708089097303634,3.543,4.105263157894737,4.077844311377246,3.605855855855856,4.123537061118335,3.9377928582969774
NKX2-4,3.691969519343493,3.6625,3.8947368421052633,3.8686911890504714,3.64893018018018,4.036410923276983,4.089109710777185
KLF11,3.66852286049238,2.8325,2.4210526315789473,2.489307100085543,3.424268018018018,2.5848504551365408,0.9489416707060916
Tfcp2l1,3.635111371629543,3.017,4.578947368421052,3.1890504704875964,3.5236486486486487,3.0637191157347203,2.546130231055098
Ikzf3,3.628663540445487,3.275,2.789473684210526,3.633875106928999,3.675394144144144,3.6147594278283486,3.08846340281144
ERF::FOXI1,3.611664712778429,3.6935,2.5789473684210527,3.613772455089821,3.785191441441442,3.671001300390117,3.76805622879302
Hic1,3.5993552168815945,3.3955,3.789473684210526,3.7117194183062447,3.4239864864864864,3.5910273081924577,3.4458717078687995
BCL11A,3.572391559202813,3.483,4.0,3.97775876817793,3.509572072072072,4.155721716514955,4.062934238164486
JUN::JUNB,3.5688745603751464,4.0395,2.473684210526316,4.684773310521813,3.603603603603604,4.6420676202860855,5.080142187752464
Npas4,3.534876905041032,3.3395,2.3157894736842106,3.360136869118905,3.6570945945945943,3.453185955786736,3.143803522378413
ELF3,3.50820633059789,3.278,2.0526315789473686,3.6924721984602233,3.473536036036036,3.669050715214565,3.4455485538859265
Prdm5,3.413833528722157,3.3395,3.3157894736842106,3.699743370402053,3.223536036036036,3.8673602080624185,3.800452415576022
Hand1,3.408264947245017,3.0485,4.368421052631579,3.550470487596236,3.2730855855855854,3.534785435630689,3.257392147358216
